Name,Contact,Specialization
"An-Net Infotech Limited, New Delhi",Website: www.an-netinfotech.com Email: ashokmalhotra@an-netinfotech.com,"E-Commerce Services, Net-enabled Services, Embedded Software, System Re-engineering"
"Annik Systems Pvt Ltd, New Delhi",Website: www.anniksystems.com Email: rahul@anniksystems.com,"Offshore software development, web based applications, VB, ASP, SQL Server, Microsoft Technologies, COM+, .NET, OLAP, DataWarehousing, Data Mining, Advanced Reporting solutions"
"Ansal Housing & Construction Ltd, New Delhi",Website: www.ansalhousingltd.com Email: dansal@del3.vsnl.net.in,"Real Estate Development, Management of Clubs, Development of Infrastructure for IT parks,Development of Hospitality Industry"
"Antares Systems Pvt Ltd,Bangalore",Website: www.antaressystems.com Email:suresh@antaresystems.com,"E-commerce, EAI, financial systems, telemedicine"
"ANZ Information Technology Pvt. Ltd., Bangalore",Email: sunder@anz.com,Software solutions in Financial Services area
"Apar Technologies Ltd,Mumbai",Website: www.apar.com Email:sanjiv@apar.com,"Specialisation: Payment Solutions, Offshoredevelopment solutions,B2B/B2C solutions, Enterprise application integartion (EAI)"
"Apex Computer &Engineering Services, Goa",Email: sonaliamonkar@hotmail.com,"Software Consultancy, Maintenance, SoftwareTraining"
"Apex Technologies Pvt. Ltd., Bangalore",Website: www.apex.soft.net Email: arvind_tiwari@apex.soft.net,Insurance
"Applied Software Pvt. Ltd., Ahmedabad",Website: www.appliedcommerce.com Email: applied_software@vsnl.com,"RDBMS / Datawarehousing / Datamining, SoftwareMaintenance and Migration, E-Commerce / EDI, Software Product Development"
"Apt Software Avenues Pvt. Ltd., Calcutta",Website: www.aptsoftware.com Email: atulapt@vsnl.com,"VLSI CAD, RDBMS applications - Client/ ServerSystem, Networking, Software development for PalmOS"
"Aptech Limited., Mumbai",Website: www.aptech-worldwide.com Email: romab@aptech.ac.in,"Knowledge Management & E-Governance, Enterprise Consulting Implementation and Customisation solutions.,Migration of Legacy applications to Web-enabled solutions, High-end IT Training"
"ARB Software India (P) Ltd.,Calcutta",Email: arbs@giasc101.vsnl.net.in,"Web Techniques, Software Maintenance / Migration,Software Product Development, E-commerce / EDI"
"Aress Software & Education Technologies (P) Ltd., Nasik",Website: www.aresindia.com Email: aress_nsk@sancharnet.in,"Internet Technologies, Client-server Technologies, Embedded software, Wireless Technologies"
"Arthur Andersen India Private Limited, New Delhi",Website: www.arthurandersen.com Email: ammet.parikh@in.arthurandersen.com,"Business Consulting, Assurance and Business Advisory, Corporate Finance, Tax, Regulatory andBusiness Advisory"
"Arthur D. Little IndiaConsultancy, Mumbai",Email: mukherji.srinath@adlittle.com,"Strategy, E-commerce, incubation"
"Arya Communications &Electronics Services Ltd., Mumbai",Website: www.aryacom.com Email: rkk@aryacom.com,"Onsite/ Offshore Services, Systems Integration"
"Aryabhatta Solutions Ltd., Hyderabad",Website: www.aryabhattasolutions.com Email: t.rajendra@aryabhattasolutions.com,"Wireless LBSS/SP, GIS, WAP Solutions, ASP"
"Ashtech Infotech Pvt. Ltd.,Mumbai",Website: www.ashinfo.com Email:ashinfo@bom.2vsnl.in,"Back Office Products / Customization, E-commerce"
"ASL Technologies Ltd., New Delhi",Website: www.asltechnologies.com Email: sandeep.grover@asltechnologies.com,"Interner & e-commerce, WAP for mcommerce, Database management, Client-server, Technical Support, NetworkingLocation:"
"ASM Technologies Limited, Bangalore",Website: www.asmltd.com Email: synergic@vsnl.com,"ERP, Supply Chain Management, Customer Relationship Management, End User Support, E- commerce, Internet Technologies, Onsite andoffshore Software Consultancy and Development"
"Astral Tele*Foundation Pvt. Ltd., Bangalore",Website: www.astraltel.com Email: astral@del2.vsnl.net.in,"Telecommunications Billing and Customer CareSystem, Call Centre Applications, Web-Based Applications, Operation Research Solutions"
"Atari Informatics Ltd., New Delhi",Website: www.atarimto.com Email: ho@atarimto.com,"IT Education & Training, HR Services (Consultancy), IT Enabled services & Training (MT & Call centre), Web designing & development"
"Atika Computer EducationServices, Goa",Email: nileshamonkar@yahoo.com,"Software Consultancy, Maintenance, SoftwareTraining"
"Atos Origin India Private Limited, Mumbai",Website: www.origin-it.com Email: uday.gharpure@in.origin-it.com,"ERP Solution - SAP, Baan, MFG / Pro, Business Application Solutions - Software Engineering,Technical Automation, Business Continuity - Euro Millenium."
"Autodesk India Pvt. Ltd.,Bangalore",Website: www.autodesk.com Email:s.sridhar@autodesk.com,"CAD/CAM/CAE (AEC, MCAD, GIS), Multimedia"
"Avantel Softech Ltd., Hyderabad",Website: www.avantel-india.com Email: avantel1@hd2.vsnl.net.in,"Communication - Microwave Products, Radio Communication Systems Network Access Products, SATCOM Products, Software - ERP Solutions,Internet Solutions E-commerce, Web enabled databases, Euro"
"Aver Software Technologies Ltd., Mumbai",Website: www.averphoto.com Email: aver@vsnl.com,"Specialisation: Image Editing Software, GraphicSoftware, Machine Operating System, Ripping Software"
"Aviation SoftwareDevelopment Consultancy India Ltd., Chennai",Email: ceo@asdc.co.in,Specialisation: Aviation Software
"AVL India Software Pvt Ltd, Gurgaon",Website: www.avlindsoft.com Email: Shantanu.Dash@avl.com,"Client-server/business App, Internet basedapplication, realtime systems/embedded, software re- engineering"
"AXA Business Services PvtLtd, Bangalore",Website: www.axa.com Email: abs@axa-abs.co.in,"Insurance Back office, Finance & accounting, CRM,Call Centre"
"Axes Technologies (I) Pvt Ltd, Bangalore",Website: www.axestech.com Email: s_uday@axes-mach01.usa.alcatel.com,Telecom software development
"Axiom Solutions Pvt Ltd, Mumbai",Website: www.kssi.net Email: v_kamdar@hotmail.com,"Application of Dynamic Simulation, E- Business Services includes E-Services,E-Training, Training to operators in operating simulated plants, ProjectManagement and Software Services"
"AXS Online (P) Ltd, Bangalore",Website: www.axsworld.com,"Website hosting, Wesite designing, E-commerce (B2C), Portal Management & development"
"Aztec Software &Technologies(P) Ltd., Bangalore",Website: www.aztecsoft.com Email: chinni@aztec.soft.net,"XML, Databases, Net Infrastructure"
"Aztek Systems Pvt Ltd, Bhubaneswar",Email: azteksystems@rediffmail.com,Medical Transcription
"BAeHAL Software Limited, Bangalore",Website: www.baehal.com Email: mkgovind@baehal.com,"Enterprise Systems, Real Time Projects, Y2K, Professional Services, Content Creation, EngineeringServices, Product Development, Smart Card, Aircraft"
"Bamboo Software SolutionsPvt. Ltd, Hyderabad",Website: www.bamboosoft.com Email:raju@bamboosoft.com,"Internet Technologies, Client Server Applications"
"Bangalore Softsell Ltd, Bangalore",Website: www.bangaloresoftsell.com Email: sragothaman@bangaloresoftsell.com,"Legacy system Migration Services, Euro Compliance Services, Distribution Product development"
"Bangalore Software Services Ltd, Bangalore",Website: www.bangaloresoftware.com Email: surinder@bangaloresoftware.com,"Internet & E - Commerce Solutions, Datawarehousing& data mining, Enterprise Resource Planning, Telecom / WAP"
"Barry-Wehmiller International Resources Pvt Ltd, Chennai",Website: www.bwir.com Email: krishnakumar.k@marquip.com,"Technology Consulting & Architecture, Client Server & Distributed Applications Development & Maintenance, B2B Portal Design, E-Business, Artificial Intelligence, Data Mining, Integrationbetween the AS/400 and the Web, CAD to ERP integration"
"Baypackets TechnologiesPvt Ltd, Noida",Websitewww.baypackets.comEmailsanjeev.chawla@baypackets.com,"Telecommunication Software & Solutions, Internet,Software Product Development"
"Bells Softech Limited, Bangalore",Website: www.bellsoftech.com Email: info@bellsoftech.com,"Real time control system and embedded systems, Networking and Internet, Storage Technology, Application Development & Software Services"
"Beni Softwares Pvt Ltd, Jalandhar",Website: www.benigroup.com Email: raisin@benigroup.com,"ERP Software development, E-commerce, Application Software development, Consulting and projects"
"Bentley Systems India Pvt Ltd, New Delhi",Website: www.bentley.co.in Email: sandeep.srivastava@bentley.com,"Web-Enabled Engineering, Engineering Back officeautomation, Infrastructure Engineering, Application Development & deployment for projects"
"Bersoft Infotech Pvt Ltd, Haryana",Website: www.bersoftinfotech.com Email: contact@bersoftinfotech.com,"Client Server / MS 98/ Windows, Manufacturing- Inventry Control, Education-School Monitary System,Field Force Monitering System"
"Bhari InformationTechnology Systems Pvt. Ltd., Chennai",Website: www.bitechm.com Email: skarahman@bitechm.com,"Customised Software Development, Euro, BankingSolutions,IBM Mainframe Solutions, E-commerce + Internet Applications"
"Bharti Infotrac Ltd., New Delhi",Email: rajiv.shah@bhartiinfotrac.com,"Back office operations (Transaction, Finance & Accounting), Contact centre, IT Help desk"
"Bharti Telesoft Ltd., NewDelhi",Website: www.bhartitelesoft.com Email:sanjiv.mital@bhartitelesoft.com,"Onsite/Offshore services, IT Enabled Services,Internet & E- Commerce,Networking, Telecom"
"Bhilwara Infotech Limited, Noida",Website: www.bhilwarainfo.com Email: sdubey@bhilwarainfo.com,"Offshore, Onsite Software Development,Consultancy, Internet, E-Commerce, Call Centre, IT Enabled Services"
"Binary Semantics Limited, Gurgaon",Website: www.bslindia.com Email: achoudhary@bslindia.com,"Turnkey Software Solutions and Consulting Services, Offshore Software Services, Onsite Consulting Services, Knowledge Databases and ScientificResearch Software, Manufacturing and Enterprise Resource Planning Solutions, Software Distribution"
"Bindview India Private Limited, Pune",Website: www.bindview.com Email: sghosh@bindview.com,"Directory Services, Administration & Co-Management of heterogeneous networks , Migration"
"Birla Technologies Ltd, Mumbai",Website: www.birlasoftware.com Email: ggidwani@birlatechnologies.com,"Manufacturing, Banking, Finance, Pharmaceuticals, Healthcare"
"Birlasoft Limited, Noida",Website: www.birlasoft.com Email: atanu.banerji@birlasoft.com,"Specialisation: Client Server-based applications,Y2KProjects, EC/EDI Products & Services, Software Maintenance Services"
"Blue Chip Computer Consultants Pvt. Ltd., Mumbai",Website: www.bluechipsw.com Email: bcho@bom5.vsnl.net.in,"Customised Software Development, MRP/ERP solutions, Implementation Services, Software"
"Blue Star Infotech Ltd,Mumbai",Website: www.bsil.com Email:sudhirg@bsil.com,"HP 3000/9000 MPE/-ix systems, Client/Networksystems including Internet/Web Technologies,Baan Implementation and consulting, Medical Imagingprocess and embedded systems"
"BMC Software India Pvt. Ltd., Pune",Website: www.bmc.com Email: pankaj_dhume@bmc.com,"Enterprise systems management, Enterprise Data management, Storage Management, Service ProviderSolutions"
"Boston Education & Software Technologies Pvt.Ltd., Mumbai",Website: www.bostonci.com Email: corporate@bostonci.com,"Web Applications, Java Technologies, Internet Integration / Enablement Services, Client/ServerApplications"
"Botree Software International Ltd, Chennai",Website: www.botree.co.in Email: rajeshkk@botree.co.in,"Health care & Hospital management, ERP for Textileindustry, Supply chain Management, Custom Software development"
"BPB Publications, New Delhi",Email: bpb@vsnl.com,"Computer books, CD ROMs and Software"
"BPL Innovision TechnologiesPvt Ltd, Bangalore",Website: www.bplitl.com Email:bk.syngal@bplmail.com,"Telecom-switching/Protocol/In/CTI, Internet/Mobileinternet technologies, Technical support services, GIS"
BPL Telecom Ltd. Bangalore,Website: www.bpltelecom.com Email: ranjit.shah@bplmail.com,"Billing and Customer Care Solutions for Telecom Services (Cellular, Paging and CSP/ISP), Computer - Telephony Integration Products and Solutions, Systems Integration, Internet / Intranet Applications, Enterprise Solutions"
"Brigade Corporation IndiaPvt Ltd, Chennai",Website: www.brigade.com Email:baskarn@brigade.com,"Consulting, Web-based services, on-line chat,Intelligent reports"
"BSEL Information Systems Limited, Mumbai",Website: www.bselinfo.com Email: kirit@bselinfo.com,"Data Conversion, Medical Transcription, GIS Services, Software Development ,System Integeration, Product Development, ERP packages,Management Consultancy"
"BT (Worldwide) Ltd., NewDelhi",Website: www.bt.com Email:setha@india.btap.bt.com,"Global Data Transmission, Managed Data Services,Global Call Centre Communication Services"
"BTN Infotech India Pvt Ltd, New Delhi",Website: www.gate4india.com Email: delhi@india2korea.com,"IT Events, Software outsourcing"
"Busy Infotech Pvt. Ltd, NewDelhi",Website: www.busyinfotech.com Email:dinesh@busyinfotech.com,Business Accounting
"CA Computer Associates India Pvt Ltd, Mumbai",Website: www.cai.com Email: hugia01@cai.com,"Sales, marketing and technical support, Software solutions, Packaged software"
"Cadence Design SystemsIndia Pvt. Ltd., Noida",Website: www.cadence.com Email:Jassi@Cadence.com,"EDA Tools, EDA Consulting Services"
"Caldera International Inc, New Delhi",Website: www.sco.com Email: srikanta@caldera.com,"Systems software, Networking operating system, Web enabling & integration, Internet, e-business, e-commerce platform"
"California Software Co. Ltd., Chennai",Website: www.calsoft.co.in Email: santosh@calsoft.co.in,"e- Business Solutions, Windows based Systems, B2B Trading Platform- Product, Product Re- EngineeringServices"
"Cambridge TechnologyPartners, Bangalore",Website: www.ctp.com Email:ksridh@ctp.com,"E-business solutions, Customer Loyalty Solutions,Management Consulting, Systems Integrations"
"Canbank Computer Services Ltd., Bangalore",Website: www.ccslindya.com Email: svk@ccslindia.com,"Software Products for banking & Financial Sectors, Turnkey Solutions for Banking & Financial Services, Consultancy, Education & Training in areas"
"Canon India Pvt Ltd., New Delhi",Website: www.canon-asia.com Email: Hemant@sdc.canon-in.com,"Embedded software for printers, scanners and otheroffice equipments, Document management software, Device drivers, Image processing"
"Cap Gemini Ernst & Young Consulting India Pvt Ltd, Mumbai",Website: www.capgemini.com Email: ashok.bhojwani@in.eyi.com,"Specialisation: Package Enabled Re-engineering (SAP, BAAN, JD Edwards), IT Strategy and ProgramManagement, Shared Services (Management, Process & Operations), Business Strategy"
"Care & Cure International Ltd, New Delhi",Website: www.carecure.com Email: care@carecure.com,"Specialisation: Portal development, softwaredevelopment & solutions, E-commerce, Printing & publishing"
"Cashtech Solutions India Pvt Ltd, Mumbai",Website: www.cashtech.com Email: suneel.yadav@cash-tech.com,"Specialisation: Cash Management Software Development, Consultancy and Off-shore services"
"CA-TCG Software, Pvt. Ltd.,Calcutta",Website: www.catsglobal.com Email:RajeevG@catsglobal.co.in,"Software Development, Infotech Consultancy,Management of Infotech Venture Capital"
"CCE Software, Bangalore",Website: www.ccesoft.com Email: ashis@ccesoft.com,"Offshore software development, Client servercomputing, Business process engineering solutions, Software package development"
"CDS International Ltd, Bangalore",Website: www.cdsil.net Email: avraghu@vsnl.com,"IBM AS400 & Mainframe, E-Commerce Solutions, Embedded Systems, Convergent Technologies"
"CE Info Systems Pvt. Ltd., New Delhi",Website: www.mappls.com Email: ceinfo@vsnl.com,"Complete spatial software solutions based on GIS for vertical industries like Telecom (Basic & Cellular), Retail & Distribution, Police etc., Digitising services for digital maps at 1:50,000/25,000/1,000 scalesbeing topo sheets, Satellite imageries"
"Celcius Technologies Pvt. Ltd, Calcutta",Website: www.celciustech.com Email: info@banglalive.com,"Web- based Bengali fonts, English to Bengali and Bengali to English transliteration software, OnlineBengali word- processor, E-commerce aimed at NRI"
"Cellnext Solutions Ltd, NewDelhi",Website: www.cellnext.com Email:atanu.mandal@cellnext.com,"Wireless ASP, Software development"
"Celstream Technologies Pvt Ltd, Bangalore",Website: www.celstream.com Email: brijesh.wahi@celstream.com,Provide Software Development Services toCustomers in New media & next generations Communication
"Centre for Development of Advanced Computing (C - DAC), Pune",Website: www.cdacindia.com Email: rkarora@cdac.ernet.in,"High performance computing solutions, Modelling & simulation, Advanced R&D in language processing, e-Governance solutions including solutions for infrastructure sector"
"Centre for Development of Telematics, New Delhi",Website: www.cdot.com Email: site@cdot.ernet.in,"Telecom software development, Unix and Real Time operating systems, Software engineering tools"
"Cerebra Integrated Technologies Ltd, Bangalore",Website: www.cerebracomputers.com Email: info@cerebracomputers.com,"Systems Software, Blue Tooth & WirelessTechnology, E- Commerce application, Database & Datamining"
"CG Maersk Information Technologies Pvt. Ltd., Chennai",Website: www.cgmaersk.com Email: p_plantener.cgmaersk@maerskdata.dk,"Mainframe Design and Development, Lotus Notes, Client-Server Design and Development, Back OfficeOperations, Dataprocessing / Data conversions, Medical Transcription"
"CGI Information Systems and Management Consultants Pvt Ltd,Bangalore",Website: www.cgi.ca Email: santosh.bhargava@cgi.ca,"Banking, Insurance, Financial Sectors, Manufacturing, Retail, Consumer goods, System, Integration Telecommunication, E-commerce"
"CG-Smith Software Limited, Bangalore",Website: www.cg-smith.com Email: info@cgs.cgsmith.soft.net,"Real Time Embedded Safety Critical Software, Client Server Applications, Internet Applications, SpecialDomain Expertise in Automotive,"
"CG-VAK Software & ExportsLtd., Coimbatore",Website: www.cgvak.com Email:suresh@cgvak.com,"Client / Server Development, ERP Solutions, E-commerce, Consulting Service"
"Chakkilam Infotech Ltd, Hyderabad",Website: www.chakkilaminfotech.com Email: cinfotech@hd2.dot.net.in,"CAD/GIS, Medical Transcription, Internet & E- commerce, Client-server technology"
"Chandigarh Infotech CentreLtd., Chandigarh",Website: www.cicindia.com Email:info@cicindia.com,"IT Solutions, Computer Education & Traning & ITEnabled Services, Customised Software Services, Claims Processing, Cheques Processing, Pre-pressservices & IT turnkey projects"
"Changepond Technologies Pvt Ltd, Chennai",Website: www.changepond.com Email: sindhu@changepond.com,"development for e-business & mobile commerce solutions, Expertise in XML & WML on Java Beans"
"Chenab InformationTechnologies Pvt. Ltd., Mumbai",Website: www.chenab.com Email: chenabsn@vsnl.com,"Web-based applications, E-commerce applications, Export management systems, Encryption Software"
"Cherrysoft Technologies Ltd, Chennai",Website: www.cherrysoft.com Email: sravi@cherrysoft.co.in,"Web-solutions, Client-server application, Enterprise resources planning, Embedded systems software"
"Churchill India Pvt. Ltd., New Delhi",Email: amit.gupta@churchill.com,"Application Development and Maintenance, Systems Integration, Conversion and Migration, Specialised and Customised IT solutions, Management of Very Large Data Bases, Performance Tuning, HardwareSizing & Configuration"
"Cisco Systems (India) Pvt.Ltd., New Delhi",Website: www.cisco.com Email:manojc@cisco.com,Networking Equipment for Internet
"CISTEMS (Software) Ltd., Jaipur",Website: www.cistemsindia.com Email: keshav@cistemsindia.com,"Turnkey development of custom designed businessinformation system, System migration & porting , Y2K Solutions , Web Designing,"
"Citrix Software Ltd,Bangalore",Website: www.citrix.com Email:anil.menon@citrix.com,Server based computing software
"CLC Technologies Ltd, New Delhi",Website: www.clctechnologies.com Email: info@clctechnologies.com,"Software for Apparel Industry, IT Enabled Services, Offshore customise using SQL server/access &crystalas tools"
"Clover Technologies Pvt Ltd, Pune",Website: www.clovertechnologies.com Email: javed@clovertechnologies.com,"E-commerce application development, Oracle support services, Linux support & services, application inOracle"
"CMC Limited, New Delhi",Website: www.cmcltd.com Email: ssg@corp.cmc.net.in,"Hardware maintenance equipment supply & Environmental Engineering, Applications in Ports & Cargo Automation, Insurance, Imaging & SCADA , Banking, Stock Exchanges & Fingerprint Automation, Education & Training and Computer NetworkingServices"
"Cogito Technologies Ltd, Noida",Website: www.cogitotech.com Email: contact@cogitotech.com,"Multimedia Based Solution Development, Development of e- Learning modules, Multimedia based e- Commerce platforms & Digital Marketing Tools such as Interactive CD Rom presentations,Web based /Off line presentations, Dynamic websites"
"Cognizant Technology Solutions India Pvt. Ltd.,Chennai",Website: www.cognizant.com Email: RajB@chn.cognizant.com,"Insurance, Healthcare, Media, Financial Services"
"Cognosys Software Pvt Ltd,New Delhi",Website: www.cognosyscorp.com Email:vaibhav.dayal@cognosyscorp.com,Travel Technologies
"Compudyne WinfosystemsLimited, Bangalore",Website: www.cwlglobal.com Email:info@cwlglobal.com,"3D Character Modeling, Animation, ApplicationDevelopment, Reengineering, Migration,"
"Compulink Systems Pvt Ltd, Pune",Website: www.compulnk.com Email: custcare@compulnk.com,"Client -Server Applications Development, Internet / Intranet Applications Development, Work-flowApplication Development, E-commerce Application"
"Computech International Limited, Calcutta",Website: www.computechintl.com Email: computec@cal.vsnl.net.in,"Customised Application Software Development, Geographical Information System, Development ofEnterprise Resource Planning (ERP) Package"
"Computer Clinic India Pvt. Ltd., New Delhi",Website: wwwcomputerclinic.com Email: ccipl@del2.vsnl.net.in,"School Education & Training, Maintenance provider, Marketing Computer Solutions, Onsite Services"
"Computer SciencesCorporation India Pvt Ltd, Indore",Website: www.csc.com Email: lkrishn2@csc.com,"General Insurance, Life Insurance"
"Congruent Solutions Pvt. Ltd., Chennai",Website: www.cspl.com Email: cv@cspl.com,"Web applications development using Java/J2EE framework & Microsoft middleware tools. Expertise inWebLogic, Websphere and iPlanet, B2B applications using XML, Wirelesss applications using WAP"
"Consindia Private Limited,Mumbai",Website: www.consindia.com Email:cpl@vsnl.com,"Healthcare Products, Data Warehousing Services,Financial Sector Products"
"Consolidated Futuristic Solutions Ltd, Gurgaon",Website: www.cofuture.com Email: info@cofuture.com,"Embedded S/W & RT System, Network Management System, CTI, Hospital Management System"
"Consulting EngineeringServices (I) Ltd, New Delhi",Website: www.cesinter.com Email:cesstp@vsnl.com,"GIS & CAD based studies, MIS solutions, Web-basedsolutions, Customised software development"
"Contech Software Ltd., Gujarat",Website: www.contechsoftware.com Email: panchamukhih@contechsoftware.com,"On-site & off-shore software development, Software maintenance, testing, enhancements & replatforming,Âp; off-shore software development, Software maintenance, testing, enhancements &replatforming,Â  E-commerce, Business Applications, Telecom, Technology"
Convergent Software LimitedBangalore,Website: www.convergsoft.com Email:mani@convergsoft.com,"Telecom Software , Internet Networking, E-Commerce"
"Convergys India ServicesPvt Ltd, Gurgaon",Website: www.convergys.com Email:jaswinder.ghumman@convergys.com,"Contact Centre Services, Billing & Customer CareSoftware & Services"
"Cordiant Interweb Technologies Pvt Ltd, Kochi",Website: www.cordiant.com Email: dpaul@cordiant.co.in,"Java, IBM Websphere, Microsoft ASP"
"Core Solucomm Ltd, NewDelhi",Website: www.coresolucomm.com Email:sgoel@coresolucomm.com,"Develop software & technology for Call centre,develop CRM packages for call centre"
"Cosmic Infotech Solutions, New Delhi",Website: www.citesindia.com Email: info@citesindia.com/vivek@citesindia.com,"On site Consulting, Off- Shore Development, Web- Enabled Technologies, E- commerce, M- Commerce/Telecommunications"
"Cosystems Technologies Private Limited., Bangalore",Website: www.cosystech.com Email: srini@cosystems.com,"Telecom, Turnkey Product Development, Hardware design, Dedicated development facility"
"Covansys India (Private) Ltd., Chennai",Website: www.covansysindia.com Email: Mnataraj@covansys.com,"Software development & maintenance in Mainframe, Client / Server, Internet / e-Commerce, Data Warehousing, CRM and ERP, Banking / Insurance, Retail / Distribution, Health Care, Auto /Manufacturing, Public Retirement Services, Utilities and Telecom"
"Cranes Software International Ltd., Bangalore",Website: www.cranessoftware.com Email: asif@cranessoftware.com,"Real Time operating Systems, Embedded System,Digital Signal recording, Mathematical modulation & stimulation"
"Creatnet Services Ltd., New Delhi",Website: www.creatnet.com Email: devanshu.dutta@creatnet.com,Outsourcing services in Apparel & SLC products
"Cresco Technology (P) Ltd., Noida",Website: www.crescotec.com Email: manisha@crescotec.com,"Internet Solutions, Multimedia Solutions, General Applications"
"Crossdomain Solutions PvtLtd, Bangalore",Email: ram@cross-domain.com,"Compensation & benefits management, Insuranceservices, Retail management, Financial Institutional"
"Crossword Software Pvt Ltd, New Delhi",Website: www.crosswordsoftware.net Email: kumard@crosswordsoftware.com,"Telecom operational support systems application, Customer care - applications - call centre - CRM,Software Services, professional Services"
"Cruise Controls Pvt Ltd,Pune",Website: www.cruise-controls.com Email:ashub@cruise-controls.com,"Embedded Networking, Network Management,Telecommunications, Web Development"
"CustomerAsset India Pvt. Ltd., Bangalore",Website: www.customerasset.com Email: brianc@customerasset.com,"Inbound customer service & sales, Outbound Sales & collection, Tech Support, Back Office Processing"
"Cyber Initiatives (India) Ltd,Ahmedabad",Website: www.cyberinitiatives Email:r.arora@cyberinitiatives.com,"Supply Chain application, decision support systemapplication Oracle, Java application"
"Cybertech Systems and Software Ltd., Mumbai",Website: www.cybertechonline.com Email: cssl@cybertech.co.in,"SAP - Implementation, Post Implementation & Onsite consultancy, CISCO - Network consultancy and Facility Management, GIS - Onsite consultancy based on ESRI products, E-commerce - Providing technicalresources for developing E-solutions"
"CybizCall (Inter national) Ltd, Gurgaon",Website: www.cybizcall.com Email: samchopra@cybizcall.com,"Consultancy Finance, IT Enabled, Software"
"Cygnus Software Pvt Ltd, Pune",Website: www.cygnus.com Email: cygnus@stpp.soft.net,"Finance & Banking, Internet, E-commerce & Supply Chain Management, Information Asset Management& Datawarehousing, Multimedia Applications, Japanese"
"Cygsoft Limited, Mumbai",Website: www.cygsoft.com Email: kshah@cygsoft.com,"Network Technologies - Corba, ActiveX (COM/DCOM), LDAP (NDS/ Active Directory) DEN, JINI, Component-based software - C++, Java, JavaBeans, Java RMI, Network Management -SNMP, JMAPI, WBEM, Network Drivers, Protocols, Utilities - Ethernet, ATM, TCP/IP, IP"
