Company Name,Place,Website,Email,Specialization
ALSTOM Systems Limited, Noida,www.alstom.com,rathin.basu@vsnl.com,"Supervisory Control and Data Acquisition System (SCADA) for Power and Industrial Processes, Terminal Automation System for Oil / Gas sector,Product development for Real Time application"
American Express (India) Pvt. Ltd., New Delhi,www.americanexpress.com,Sanjay.2.Gupta@aexp.com,Data Management and Information Analysis & Control
American Megatrends (India) Pvt. Ltd, Chennai,,sundaramn@amiindia.co.in,"Desktop and Portable Bios, PCMCIA Solutions and Systems Management Software, Device Drivers forvarious Operating Systems, GUI, Internet/Intranet, Java, JDBC"
AmitySoft Technologies Pvt Ltd, Chennai,www.amitysoft.com,jayakumar@amitysoft.com,"Java based software development, software testing,software quality consulting, training on software quality"
Ampersand SoftwareApplications Ltd., Bangalore,www.ampercorp.com,ravindrak@ampercorp.com,"Strategic Technologies, Offsite development, Onsiteprogramming, E-Commerce Solutions"
Anjaleem Enterprises Pvt.,,,mehta_madhu@hotmail.com,"Telephone Call Metering Systems, Real Time"
Annet Communications Pvt Ltd, Mumbai,www.annetsite.com,rohan@annetsite.com,"eBusiness solutions, multimedia applicatiions, client- server application development, webenablingsolutions"
An-Net Infotech Limited, New Delhi,www.an-netinfotech.com,ashokmalhotra@an-netinfotech.com,"E-Commerce Services, Net-enabled Services, Embedded Software, System Re-engineering"
Annik Systems Pvt Ltd, New Delhi,www.anniksystems.com,rahul@anniksystems.com,"Offshore software development, web based applications, VB, ASP, SQL Server, Microsoft Technologies, COM+, .NET, OLAP, DataWarehousing, Data Mining, Advanced Reporting solutions"
Ansal Housing & Construction Ltd, New Delhi,www.ansalhousingltd.com,dansal@del3.vsnl.net.in,"Real Estate Development, Management of Clubs, Development of Infrastructure for IT parks,Development of Hospitality Industry"
Antares Systems Pvt Ltd,Bangalore,www.antaressystems.com,suresh@antaresystems.com,"E-commerce, EAI, financial systems, telemedicine"
ANZ Information Technology Pvt. Ltd., Bangalore,,sunder@anz.com,Software solutions in Financial Services area
Apar Technologies Ltd,Mumbai,www.apar.com,sanjiv@apar.com,"Specialisation: Payment Solutions, Offshoredevelopment solutions,B2B/B2C solutions, Enterprise application integartion (EAI)"
Apex Computer &Engineering Services, Goa,,sonaliamonkar@hotmail.com,"Software Consultancy, Maintenance, SoftwareTraining"
Apex Technologies Pvt. Ltd., Bangalore,www.apex.soft.net,arvind_tiwari@apex.soft.net,Insurance
Applied Software Pvt. Ltd., Ahmedabad,www.appliedcommerce.com,applied_software@vsnl.com,"RDBMS / Datawarehousing / Datamining, SoftwareMaintenance and Migration, E-Commerce / EDI, Software Product Development"
Apt Software Avenues Pvt. Ltd., Calcutta,www.aptsoftware.com,atulapt@vsnl.com,"VLSI CAD, RDBMS applications - Client/ ServerSystem, Networking, Software development for PalmOS"
Aptech Limited., Mumbai,www.aptech-worldwide.com,romab@aptech.ac.in,"Knowledge Management & E-Governance, Enterprise Consulting Implementation and Customisation solutions.,Migration of Legacy applications to Web-enabled solutions, High-end IT Training"
ARB Software India (P) Ltd.,Calcutta,,arbs@giasc101.vsnl.net.in,"Web Techniques, Software Maintenance / Migration,Software Product Development, E-commerce / EDI"
Aress Software & Education Technologies (P) Ltd., Nasik,www.aresindia.com,aress_nsk@sancharnet.in,"Internet Technologies, Client-server Technologies, Embedded software, Wireless Technologies"
Arthur Andersen India Private Limited, New Delhi,www.arthurandersen.com,ammet.parikh@in.arthurandersen.com,"Business Consulting, Assurance and Business Advisory, Corporate Finance, Tax, Regulatory andBusiness Advisory"
Arthur D. Little IndiaConsultancy, Mumbai,,mukherji.srinath@adlittle.com,"Strategy, E-commerce, incubation"
Arya Communications &Electronics Services Ltd., Mumbai,www.aryacom.com,rkk@aryacom.com,"Onsite/ Offshore Services, Systems Integration"
Aryabhatta Solutions Ltd., Hyderabad,www.aryabhattasolutions.com,t.rajendra@aryabhattasolutions.com,"Wireless LBSS/SP, GIS, WAP Solutions, ASP"
Ashtech Infotech Pvt. Ltd.,Mumbai,www.ashinfo.com,ashinfo@bom.2vsnl.in,"Back Office Products / Customization, E-commerce"
ASL Technologies Ltd., New Delhi,www.asltechnologies.com,sandeep.grover@asltechnologies.com,"Interner & e-commerce, WAP for mcommerce, Database management, Client-server, Technical Support, NetworkingLocation:"
ASM Technologies Limited, Bangalore,www.asmltd.com,synergic@vsnl.com,"ERP, Supply Chain Management, Customer Relationship Management, End User Support, E- commerce, Internet Technologies, Onsite andoffshore Software Consultancy and Development"
Astral Tele*Foundation Pvt. Ltd., Bangalore,www.astraltel.com,astral@del2.vsnl.net.in,"Telecommunications Billing and Customer CareSystem, Call Centre Applications, Web-Based Applications, Operation Research Solutions"
Atari Informatics Ltd., New Delhi,www.atarimto.com,ho@atarimto.com,"IT Education & Training, HR Services (Consultancy), IT Enabled services & Training (MT & Call centre), Web designing & development"
Atika Computer EducationServices, Goa,,nileshamonkar@yahoo.com,"Software Consultancy, Maintenance, SoftwareTraining"
Atos Origin India Private Limited, Mumbai,www.origin-it.com,uday.gharpure@in.origin-it.com,"ERP Solution - SAP, Baan, MFG / Pro, Business Application Solutions - Software Engineering,Technical Automation, Business Continuity - Euro Millenium."
Autodesk India Pvt. Ltd.,Bangalore,www.autodesk.com,s.sridhar@autodesk.com,"CAD/CAM/CAE (AEC, MCAD, GIS), Multimedia"
Avantel Softech Ltd., Hyderabad,www.avantel-india.com,avantel1@hd2.vsnl.net.in,"Communication - Microwave Products, Radio Communication Systems Network Access Products, SATCOM Products, Software - ERP Solutions,Internet Solutions E-commerce, Web enabled databases, Euro"
Aver Software Technologies Ltd., Mumbai,www.averphoto.com,aver@vsnl.com,"Specialisation: Image Editing Software, GraphicSoftware, Machine Operating System, Ripping Software"
Aviation SoftwareDevelopment Consultancy India Ltd., Chennai,,ceo@asdc.co.in,Specialisation: Aviation Software
AVL India Software Pvt Ltd, Gurgaon,www.avlindsoft.com,Shantanu.Dash@avl.com,"Client-server/business App, Internet basedapplication, realtime systems/embedded, software re- engineering"
AXA Business Services PvtLtd, Bangalore,www.axa.com,abs@axa-abs.co.in,"Insurance Back office, Finance & accounting, CRM,Call Centre"
Axes Technologies (I) Pvt Ltd, Bangalore,www.axestech.com,s_uday@axes-mach01.usa.alcatel.com,Telecom software development
Axiom Solutions Pvt Ltd, Mumbai,www.kssi.net,v_kamdar@hotmail.com,"Application of Dynamic Simulation, E- Business Services includes E-Services,E-Training, Training to operators in operating simulated plants, ProjectManagement and Software Services"
AXS Online (P) Ltd, Bangalore,www.axsworld.com,,"Website hosting, Wesite designing, E-commerce (B2C), Portal Management & development"
Aztec Software &Technologies(P) Ltd., Bangalore,www.aztecsoft.com,chinni@aztec.soft.net,"XML, Databases, Net Infrastructure"
Aztek Systems Pvt Ltd, Bhubaneswar,,azteksystems@rediffmail.com,Medical Transcription
BAeHAL Software Limited, Bangalore,www.baehal.com,mkgovind@baehal.com,"Enterprise Systems, Real Time Projects, Y2K, Professional Services, Content Creation, EngineeringServices, Product Development, Smart Card, Aircraft"
Bamboo Software SolutionsPvt. Ltd, Hyderabad,www.bamboosoft.com,raju@bamboosoft.com,"Internet Technologies, Client Server Applications"
Bangalore Softsell Ltd, Bangalore,www.bangaloresoftsell.com,sragothaman@bangaloresoftsell.com,"Legacy system Migration Services, Euro Compliance Services, Distribution Product development"
Bangalore Software Services Ltd, Bangalore,www.bangaloresoftware.com,surinder@bangaloresoftware.com,"Internet & E - Commerce Solutions, Datawarehousing& data mining, Enterprise Resource Planning, Telecom / WAP"
Barry-Wehmiller International Resources Pvt Ltd, Chennai,www.bwir.com,krishnakumar.k@marquip.com,"Technology Consulting & Architecture, Client Server & Distributed Applications Development & Maintenance, B2B Portal Design, E-Business, Artificial Intelligence, Data Mining, Integrationbetween the AS/400 and the Web, CAD to ERP integration"
Baypackets TechnologiesPvt Ltd, Noida,,,"Telecommunication Software & Solutions, Internet,Software Product Development"
Bells Softech Limited, Bangalore,www.bellsoftech.com,info@bellsoftech.com,"Real time control system and embedded systems, Networking and Internet, Storage Technology, Application Development & Software Services"
Beni Softwares Pvt Ltd, Jalandhar,www.benigroup.com,raisin@benigroup.com,"ERP Software development, E-commerce, Application Software development, Consulting and projects"
Bentley Systems India Pvt Ltd, New Delhi,www.bentley.co.in,sandeep.srivastava@bentley.com,"Web-Enabled Engineering, Engineering Back officeautomation, Infrastructure Engineering, Application Development & deployment for projects"
Bersoft Infotech Pvt Ltd, Haryana,www.bersoftinfotech.com,contact@bersoftinfotech.com,"Client Server / MS 98/ Windows, Manufacturing- Inventry Control, Education-School Monitary System,Field Force Monitering System"
Bhari InformationTechnology Systems Pvt. Ltd., Chennai,www.bitechm.com,skarahman@bitechm.com,"Customised Software Development, Euro, BankingSolutions,IBM Mainframe Solutions, E-commerce + Internet Applications"
Bharti Infotrac Ltd., New Delhi,,rajiv.shah@bhartiinfotrac.com,"Back office operations (Transaction, Finance & Accounting), Contact centre, IT Help desk"
Bharti Telesoft Ltd., NewDelhi,www.bhartitelesoft.com,sanjiv.mital@bhartitelesoft.com,"Onsite/Offshore services, IT Enabled Services,Internet & E- Commerce,Networking, Telecom"
Bhilwara Infotech Limited, Noida,www.bhilwarainfo.com,sdubey@bhilwarainfo.com,"Offshore, Onsite Software Development,Consultancy, Internet, E-Commerce, Call Centre, IT Enabled Services"
Binary Semantics Limited, Gurgaon,www.bslindia.com,achoudhary@bslindia.com,"Turnkey Software Solutions and Consulting Services, Offshore Software Services, Onsite Consulting Services, Knowledge Databases and ScientificResearch Software, Manufacturing and Enterprise Resource Planning Solutions, Software Distribution"
Bindview India Private Limited, Pune,www.bindview.com,sghosh@bindview.com,"Directory Services, Administration & Co-Management of heterogeneous networks , Migration"
Birla Technologies Ltd, Mumbai,www.birlasoftware.com,ggidwani@birlatechnologies.com,"Manufacturing, Banking, Finance, Pharmaceuticals, Healthcare"
Birlasoft Limited, Noida,www.birlasoft.com,atanu.banerji@birlasoft.com,"Specialisation: Client Server-based applications,Y2KProjects, EC/EDI Products & Services, Software Maintenance Services"
Blue Chip Computer Consultants Pvt. Ltd., Mumbai,www.bluechipsw.com,bcho@bom5.vsnl.net.in,"Customised Software Development, MRP/ERP solutions, Implementation Services, Software"
Blue Star Infotech Ltd,Mumbai,www.bsil.com,sudhirg@bsil.com,"HP 3000/9000 MPE/-ix systems, Client/Networksystems including Internet/Web Technologies,Baan Implementation and consulting, Medical Imagingprocess and embedded systems"
BMC Software India Pvt. Ltd., Pune,www.bmc.com,pankaj_dhume@bmc.com,"Enterprise systems management, Enterprise Data management, Storage Management, Service ProviderSolutions"
Boston Education & Software Technologies Pvt.Ltd., Mumbai,www.bostonci.com,corporate@bostonci.com,"Web Applications, Java Technologies, Internet Integration / Enablement Services, Client/ServerApplications"
Botree Software International Ltd, Chennai,www.botree.co.in,rajeshkk@botree.co.in,"Health care & Hospital management, ERP for Textileindustry, Supply chain Management, Custom Software development"
BPB Publications, New Delhi,,bpb@vsnl.com,"Computer books, CD ROMs and Software"
BPL Innovision TechnologiesPvt Ltd, Bangalore,www.bplitl.com,bk.syngal@bplmail.com,"Telecom-switching/Protocol/In/CTI, Internet/Mobileinternet technologies, Technical support services, GIS"
BPL Telecom Ltd. Bangalore,,www.bpltelecom.com,ranjit.shah@bplmail.com,"Billing and Customer Care Solutions for Telecom Services (Cellular, Paging and CSP/ISP), Computer - Telephony Integration Products and Solutions, Systems Integration, Internet / Intranet Applications, Enterprise Solutions"
Brigade Corporation IndiaPvt Ltd, Chennai,www.brigade.com,baskarn@brigade.com,"Consulting, Web-based services, on-line chat,Intelligent reports"
BSEL Information Systems Limited, Mumbai,www.bselinfo.com,kirit@bselinfo.com,"Data Conversion, Medical Transcription, GIS Services, Software Development ,System Integeration, Product Development, ERP packages,Management Consultancy"
BT (Worldwide) Ltd., NewDelhi,www.bt.com,setha@india.btap.bt.com,"Global Data Transmission, Managed Data Services,Global Call Centre Communication Services"
BTN Infotech India Pvt Ltd, New Delhi,www.gate4india.com,delhi@india2korea.com,"IT Events, Software outsourcing"
Busy Infotech Pvt. Ltd, NewDelhi,www.busyinfotech.com,dinesh@busyinfotech.com,Business Accounting
CA Computer Associates India Pvt Ltd, Mumbai,www.cai.com,hugia01@cai.com,"Sales, marketing and technical support, Software solutions, Packaged software"
Cadence Design SystemsIndia Pvt. Ltd., Noida,www.cadence.com,Jassi@Cadence.com,"EDA Tools, EDA Consulting Services"
Caldera International Inc, New Delhi,www.sco.com,srikanta@caldera.com,"Systems software, Networking operating system, Web enabling & integration, Internet, e-business, e-commerce platform"
California Software Co. Ltd., Chennai,www.calsoft.co.in,santosh@calsoft.co.in,"e- Business Solutions, Windows based Systems, B2B Trading Platform- Product, Product Re- EngineeringServices"
Cambridge TechnologyPartners, Bangalore,www.ctp.com,ksridh@ctp.com,"E-business solutions, Customer Loyalty Solutions,Management Consulting, Systems Integrations"
Canbank Computer Services Ltd., Bangalore,www.ccslindya.com,svk@ccslindia.com,"Software Products for banking & Financial Sectors, Turnkey Solutions for Banking & Financial Services, Consultancy, Education & Training in areas"
Canon India Pvt Ltd., New Delhi,www.canon-asia.com,Hemant@sdc.canon-in.com,"Embedded software for printers, scanners and otheroffice equipments, Document management software, Device drivers, Image processing"
Cap Gemini Ernst & Young Consulting India Pvt Ltd, Mumbai,www.capgemini.com,ashok.bhojwani@in.eyi.com,"Specialisation: Package Enabled Re-engineering (SAP, BAAN, JD Edwards), IT Strategy and ProgramManagement, Shared Services (Management, Process & Operations), Business Strategy"
Care & Cure International Ltd, New Delhi,www.carecure.com,care@carecure.com,"Specialisation: Portal development, softwaredevelopment & solutions, E-commerce, Printing & publishing"
Cashtech Solutions India Pvt Ltd, Mumbai,www.cashtech.com,suneel.yadav@cash-tech.com,"Specialisation: Cash Management Software Development, Consultancy and Off-shore services"
CA-TCG Software," Pvt. Ltd.,Calcutta",www.catsglobal.com,RajeevG@catsglobal.co.in,"Software Development, Infotech Consultancy,Management of Infotech Venture Capital"
CCE Software, Bangalore,www.ccesoft.com,ashis@ccesoft.com,"Offshore software development, Client servercomputing, Business process engineering solutions, Software package development"
CDS International Ltd, Bangalore,www.cdsil.net,avraghu@vsnl.com,"IBM AS400 & Mainframe, E-Commerce Solutions, Embedded Systems, Convergent Technologies"
CE Info Systems Pvt. Ltd., New Delhi,www.mappls.com,ceinfo@vsnl.com,"Complete spatial software solutions based on GIS for vertical industries like Telecom (Basic & Cellular), Retail & Distribution, Police etc., Digitising services for digital maps at 1:50,000/25,000/1,000 scalesbeing topo sheets, Satellite imageries"
Celcius Technologies Pvt. Ltd, Calcutta,www.celciustech.com,info@banglalive.com,"Web- based Bengali fonts, English to Bengali and Bengali to English transliteration software, OnlineBengali word- processor, E-commerce aimed at NRI"
Cellnext Solutions Ltd, NewDelhi,www.cellnext.com,atanu.mandal@cellnext.com,"Wireless ASP, Software development"
Celstream Technologies Pvt Ltd, Bangalore,www.celstream.com,brijesh.wahi@celstream.com,Provide Software Development Services toCustomers in New media & next generations Communication
Centre for Development of Advanced Computing (C - DAC), Pune,www.cdacindia.com,rkarora@cdac.ernet.in,"High performance computing solutions, Modelling & simulation, Advanced R&D in language processing, e-Governance solutions including solutions for infrastructure sector"
Centre for Development of Telematics, New Delhi,www.cdot.com,site@cdot.ernet.in,"Telecom software development, Unix and Real Time operating systems, Software engineering tools"
Cerebra Integrated Technologies Ltd, Bangalore,www.cerebracomputers.com,info@cerebracomputers.com,"Systems Software, Blue Tooth & WirelessTechnology, E- Commerce application, Database & Datamining"
CG Maersk Information Technologies Pvt. Ltd., Chennai,www.cgmaersk.com,p_plantener.cgmaersk@maerskdata.dk,"Mainframe Design and Development, Lotus Notes, Client-Server Design and Development, Back OfficeOperations, Dataprocessing / Data conversions, Medical Transcription"
CGI Information Systems and Management Consultants Pvt Ltd,Bangalore,www.cgi.ca,santosh.bhargava@cgi.ca,"Banking, Insurance, Financial Sectors, Manufacturing, Retail, Consumer goods, System, Integration Telecommunication, E-commerce"
CG-Smith Software Limited, Bangalore,www.cg-smith.com,info@cgs.cgsmith.soft.net,"Real Time Embedded Safety Critical Software, Client Server Applications, Internet Applications, SpecialDomain Expertise in Automotive,"
CG-VAK Software & ExportsLtd., Coimbatore,www.cgvak.com,suresh@cgvak.com,"Client / Server Development, ERP Solutions, E-commerce, Consulting Service"
Chakkilam Infotech Ltd, Hyderabad,www.chakkilaminfotech.com,cinfotech@hd2.dot.net.in,"CAD/GIS, Medical Transcription, Internet & E- commerce, Client-server technology"
Chandigarh Infotech CentreLtd., Chandigarh,www.cicindia.com,info@cicindia.com,"IT Solutions, Computer Education & Traning & ITEnabled Services, Customised Software Services, Claims Processing, Cheques Processing, Pre-pressservices & IT turnkey projects"
Changepond Technologies Pvt Ltd, Chennai,www.changepond.com,sindhu@changepond.com,"development for e-business & mobile commerce solutions, Expertise in XML & WML on Java Beans"
Chenab InformationTechnologies Pvt. Ltd., Mumbai,www.chenab.com,chenabsn@vsnl.com,"Web-based applications, E-commerce applications, Export management systems, Encryption Software"
Cherrysoft Technologies Ltd, Chennai,www.cherrysoft.com,sravi@cherrysoft.co.in,"Web-solutions, Client-server application, Enterprise resources planning, Embedded systems software"
Churchill India Pvt. Ltd., New Delhi,,amit.gupta@churchill.com,"Application Development and Maintenance, Systems Integration, Conversion and Migration, Specialised and Customised IT solutions, Management of Very Large Data Bases, Performance Tuning, HardwareSizing & Configuration"
Cisco Systems (India) Pvt.Ltd., New Delhi,www.cisco.com,manojc@cisco.com,Networking Equipment for Internet
CISTEMS (Software) Ltd., Jaipur,www.cistemsindia.com,keshav@cistemsindia.com,"Turnkey development of custom designed businessinformation system, System migration & porting , Y2K Solutions , Web Designing,"
Citrix Software Ltd,Bangalore,www.citrix.com,anil.menon@citrix.com,Server based computing software
CLC Technologies Ltd, New Delhi,www.clctechnologies.com,info@clctechnologies.com,"Software for Apparel Industry, IT Enabled Services, Offshore customise using SQL server/access &crystalas tools"
Clover Technologies Pvt Ltd, Pune,www.clovertechnologies.com,javed@clovertechnologies.com,"E-commerce application development, Oracle support services, Linux support & services, application inOracle"
CMC Limited, New Delhi,www.cmcltd.com,ssg@corp.cmc.net.in,"Hardware maintenance equipment supply & Environmental Engineering, Applications in Ports & Cargo Automation, Insurance, Imaging & SCADA , Banking, Stock Exchanges & Fingerprint Automation, Education & Training and Computer NetworkingServices"
Cogito Technologies Ltd, Noida,www.cogitotech.com,contact@cogitotech.com,"Multimedia Based Solution Development, Development of e- Learning modules, Multimedia based e- Commerce platforms & Digital Marketing Tools such as Interactive CD Rom presentations,Web based /Off line presentations, Dynamic websites"
Cognizant Technology Solutions India Pvt. Ltd.,Chennai,www.cognizant.com,RajB@chn.cognizant.com,"Insurance, Healthcare, Media, Financial Services"
Cognosys Software Pvt Ltd,New Delhi,www.cognosyscorp.com,vaibhav.dayal@cognosyscorp.com,Travel Technologies
Compudyne WinfosystemsLimited, Bangalore,www.cwlglobal.com,info@cwlglobal.com,"3D Character Modeling, Animation, ApplicationDevelopment, Reengineering, Migration,"
Compulink Systems Pvt Ltd, Pune,www.compulnk.com,custcare@compulnk.com,"Client -Server Applications Development, Internet / Intranet Applications Development, Work-flowApplication Development, E-commerce Application"
Computech International Limited, Calcutta,www.computechintl.com,computec@cal.vsnl.net.in,"Customised Application Software Development, Geographical Information System, Development ofEnterprise Resource Planning (ERP) Package"
Computer Clinic India Pvt. Ltd., New Delhi,wwwcomputerclinic.com,ccipl@del2.vsnl.net.in,"School Education & Training, Maintenance provider, Marketing Computer Solutions, Onsite Services"
Computer SciencesCorporation India Pvt Ltd, Indore,www.csc.com,lkrishn2@csc.com,"General Insurance, Life Insurance"
Congruent Solutions Pvt. Ltd., Chennai,www.cspl.com,cv@cspl.com,"Web applications development using Java/J2EE framework & Microsoft middleware tools. Expertise inWebLogic, Websphere and iPlanet, B2B applications using XML, Wirelesss applications using WAP"
Consindia Private Limited,Mumbai,www.consindia.com,cpl@vsnl.com,"Healthcare Products, Data Warehousing Services,Financial Sector Products"
Consolidated Futuristic Solutions Ltd, Gurgaon,www.cofuture.com,info@cofuture.com,"Embedded S/W & RT System, Network Management System, CTI, Hospital Management System"
Consulting EngineeringServices (I) Ltd, New Delhi,www.cesinter.com,cesstp@vsnl.com,"GIS & CAD based studies, MIS solutions, Web-basedsolutions, Customised software development"
Contech Software Ltd., Gujarat,www.contechsoftware.com,panchamukhih@contechsoftware.com,"On-site & off-shore software development, Software maintenance, testing, enhancements & replatforming,Âp; off-shore software development, Software maintenance, testing, enhancements &replatforming,Â  E-commerce, Business Applications, Telecom, Technology"
Convergent Software LimitedBangalore,,www.convergsoft.com,mani@convergsoft.com,"Telecom Software , Internet Networking, E-Commerce"
Convergys India ServicesPvt Ltd, Gurgaon,www.convergys.com,jaswinder.ghumman@convergys.com,"Contact Centre Services, Billing & Customer CareSoftware & Services"
Cordiant Interweb Technologies Pvt Ltd, Kochi,www.cordiant.com,dpaul@cordiant.co.in,"Java, IBM Websphere, Microsoft ASP"
Core Solucomm Ltd, NewDelhi,www.coresolucomm.com,sgoel@coresolucomm.com,"Develop software & technology for Call centre,develop CRM packages for call centre"
Cosmic Infotech Solutions, New Delhi,www.citesindia.com,info@citesindia.com/vivek@citesindia.com,"On site Consulting, Off- Shore Development, Web- Enabled Technologies, E- commerce, M- Commerce/Telecommunications"
Cosystems Technologies Private Limited., Bangalore,www.cosystech.com,srini@cosystems.com,"Telecom, Turnkey Product Development, Hardware design, Dedicated development facility"
Covansys India (Private) Ltd., Chennai,www.covansysindia.com,Mnataraj@covansys.com,"Software development & maintenance in Mainframe, Client / Server, Internet / e-Commerce, Data Warehousing, CRM and ERP, Banking / Insurance, Retail / Distribution, Health Care, Auto /Manufacturing, Public Retirement Services, Utilities and Telecom"
Cranes Software International Ltd., Bangalore,www.cranessoftware.com,asif@cranessoftware.com,"Real Time operating Systems, Embedded System,Digital Signal recording, Mathematical modulation & stimulation"
Creatnet Services Ltd., New Delhi,www.creatnet.com,devanshu.dutta@creatnet.com,Outsourcing services in Apparel & SLC products
Cresco Technology (P) Ltd., Noida,www.crescotec.com,manisha@crescotec.com,"Internet Solutions, Multimedia Solutions, General Applications"
Crossdomain Solutions PvtLtd, Bangalore,,ram@cross-domain.com,"Compensation & benefits management, Insuranceservices, Retail management, Financial Institutional"
Crossword Software Pvt Ltd, New Delhi,www.crosswordsoftware.net,kumard@crosswordsoftware.com,"Telecom operational support systems application, Customer care - applications - call centre - CRM,Software Services, professional Services"
Cruise Controls Pvt Ltd,Pune,www.cruise-controls.com,ashub@cruise-controls.com,"Embedded Networking, Network Management,Telecommunications, Web Development"
CustomerAsset India Pvt. Ltd., Bangalore,www.customerasset.com,brianc@customerasset.com,"Inbound customer service & sales, Outbound Sales & collection, Tech Support, Back Office Processing"
Cyber Initiatives (India) Ltd,Ahmedabad,www.cyberinitiatives,r.arora@cyberinitiatives.com,"Supply Chain application, decision support systemapplication Oracle, Java application"
Cybertech Systems and Software Ltd., Mumbai,www.cybertechonline.com,cssl@cybertech.co.in,"SAP - Implementation, Post Implementation & Onsite consultancy, CISCO - Network consultancy and Facility Management, GIS - Onsite consultancy based on ESRI products, E-commerce - Providing technicalresources for developing E-solutions"
CybizCall (Inter national) Ltd, Gurgaon,www.cybizcall.com,samchopra@cybizcall.com,"Consultancy Finance, IT Enabled, Software"
Cygnus Software Pvt Ltd, Pune,www.cygnus.com,cygnus@stpp.soft.net,"Finance & Banking, Internet, E-commerce & Supply Chain Management, Information Asset Management& Datawarehousing, Multimedia Applications, Japanese"
Cygsoft Limited, Mumbai,www.cygsoft.com,kshah@cygsoft.com,"Network Technologies - Corba, ActiveX (COM/DCOM), LDAP (NDS/ Active Directory) DEN, JINI, Component-based software - C++, Java, JavaBeans, Java RMI, Network Management -SNMP, JMAPI, WBEM, Network Drivers, Protocols, Utilities - Ethernet, ATM, TCP/IP, IP"
D E Shaw India SoftwarePvt. Ltd., Hyderabad,www.deshawindia.com,agarwala@deshaw.com,"Investment Banking Applications, Internet BasedApplications, Online Services, Electronic Commerce"
Daksh eServices Pvt Ltd, Gurgaon,www.daksh.com,nikhild@daksh.com,"Outsourced email helhdesk services, eCRMconsulting & Solutions, outsourced chat helhdesk services, knowledge management"
Damco Advanced Technologies, New Delhi,www.damcogroup.com,info@damcogroup.com,"AS/400 Solutions - Development and Maintenance, Client Server Applications, E-commerce, Web Design & Internet Applications, Euro Conversions, Year 2000Impact Analysis, Conversion & Testing, Training AS/400 and E-commerce."
Daniel Measurement & Control (India) Pvt Ltd,Vadodara,www.astdaniel.com,software@astdaniel.com,"Embedded software development, Automation solution, software migration & implementation,software development"
Danlaw Technologies IndiaLtd., Hyderabad,www.danlawtechnologies.com,raju@danlawinc.com,"Embedded Systems, Portal Development, E- Comm,Knowledge Management"
Data Software ResearchCompany International Ltd., Chennai,www.dsrc.com,maurice@dsrc.co.in,"Onsite and Offshore Consultancy Services,Component Technology Development, Professional Education Services, Y2K and Euro Solutions"
Datacons Pvt. Ltd., Bangalore,www.dcons.com,datacons@dcons.com,"Investment, Retail and Merchant Banking, HirePurchase Leasing, Trading and Services, Year 2000 solutions"
Data-Core (India) Ltd., Calcutta,www.datacoresystems.com,debm@dclgroup.com,"Software Development, Data Processing and conversion, Turnkey Projects, Engineering Consultancy"
Datacraft India Ltd., Mumbai,,amit.mathad@datacraft-asia.com,"Systems Integrations, End - to - end Internet AndIntranet Solutions, Data Communications"
Datamatics Ltd., Mumbai,www.datamatics.com,kanodia@giasbm01.vsnl.net.in,"Bespoke - custom built solutions, Migrations & Re-Engineering, Electronic Publishing & Multimedia, Professional Services"
